# Equipos BSC 2026 (teams_catalog)
# BrawlForge — edita en Excel o Google Sheets. Guarda como CSV UTF-8.
# Las filas que empiezan por # y las filas _ayuda / _ejemplo NO se importan.
# En listas usa el carácter | entre valores (ej. jugador1|jugador2).
slug,name,tag,region,country,earnings,rank,rank_change,description,logo_url,roster_slugs
elevate,Elevate,ELE,SA,United States,0,86,0,Elevate compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,duckie|vegeta|og
f-a-homeless,f-a-homeless,,NA,,0,,0,f-a-homeless compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,ducky|tyrant|xemp
vic-day,vic-day,,NA,,0,,0,vic-day compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,belal|ezlivi|kapi
legacy-esports,legacy-esports,,NA,,0,,0,legacy-esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,rafiki|zoulan|zeus
loud,LOUD,LOU,SA,Brazil,0,15,0,LOUD compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,edinho|firecrow|kaiodog
skcalalas,SKCalalas,SKC,SA,es,0,24,0,SKCalalas compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,kristian|pekka|rhz
new-heights-gaming,New Heights Gaming,NHG,SA,US,0,128,0,New Heights Gaming compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,portox|wesley|prozy
kaioperro,KaioPerro,KAI,SA,South America,0,111,0,KaioPerro compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,derrp|doritos|loko
eternal-esports,Eternal Esports,EE,SA,United States,0,9,0,Eternal Esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,cauebr|jubileu|mohtep
alguem-segura,Alguem Segura,AS,SA,South America,0,43,0,Alguem Segura compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,nubis|tufa|satisfyer
olimpo-squad,Olimpo Squad,OS,SA,pe,0,19,0,Olimpo Squad compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,brabao|golden|icecrow
bounty-hunters-esports,Bounty Hunters Esports,BHE,SA,Brazil,0,7,0,Bounty Hunters Esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,redzin|bicho|rei-do-fut
enosis-esports,Enosis eSports,EE,SA,Hungary,0,88,0,Enosis eSports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,b4st|deykon|gun
bc-gaming-sa,BC* Gaming SA,BGS,SA,germany,0,54,0,BC* Gaming SA compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,leo|mica|tomz
level-esports,Level Esports,LE,SA,ar,0,117,0,Level Esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,nouthz|darke-san|satisfyer
oddyssey,oddyssey,,GLOBAL,,0,,0,oddyssey compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,
acre-lovers,acre-lovers,,SA,,0,,0,acre-lovers compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,fire-murilo|satisfyer|sennin
f-a-zurita-gaming,f-a-zurita-gaming,,SA,,0,,0,f-a-zurita-gaming compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,bryan|exic|jxcr
revenant-xspark,Revenant XSpark,RX,EMEA,India,0,1,0,Revenant XSpark compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,sergeant-clash|hiroshii|walkthrough
